1	  53.20	  30.40	  -0.75	 226.58	 192.26
2	  44.34	  25.34	   3.11	  41.37	 104.50
3	  58.80	  33.60	   2.35	 288.83	 329.24
4	  58.65	  33.51	   0.10	  30.60	 153.35
5	  51.08	  29.19	  -2.71	 221.99	 176.17
6	  62.96	  35.98	  -1.34	   8.03	 328.96
7	  63.83	  36.47	  -1.52	  61.89	 210.17
8	  57.19	  32.68	  -2.52	 186.42	 369.04
9	  62.67	  35.81	   2.91	  94.37	  13.11
10	  56.78	  32.44	  -2.82	 309.31	 319.61
11	  67.59	  38.62	  -0.84	 268.02	 338.09
12	  56.33	  32.19	  -2.68	 153.34	 146.31
13	  50.98	  29.13	  -0.10	 166.06	  13.97
14	  40.76	  23.29	   1.22	 332.29	 253.31
15	  65.32	  37.33	  -0.90	 258.46	  67.04
16	  70.05	  40.03	   0.03	 478.44	 126.82
17	  43.80	  25.03	   2.26	 497.50	 263.93
18	  71.21	  40.69	   1.78	 374.74	 387.05
19	  68.56	  39.17	   2.65	 113.39	 359.82
20	  37.06	  21.18	   0.71	 139.48	 437.82
21	  67.21	  38.41	  -2.16	 264.87	 354.32
22	  67.90	  38.80	  -1.05	 300.70	 319.24
23	  54.40	  31.09	   1.27	 391.02	 465.83
24	  50.58	  28.90	  -3.10	 296.10	 385.04
25	  55.72	  31.84	  -3.05	 111.97	  93.50
26	  58.99	  33.71	   1.34	 406.56	 294.02
27	  52.64	  30.08	   0.86	 112.47	 104.87
28	  63.41	  36.23	   1.62	 489.57	 409.36
29	  51.60	  29.49	   0.32	  63.68	 492.53
30	  60.08	  34.33	   1.80	 280.35	 144.94
31	  62.24	  35.56	  -1.83	 487.69	 293.93
32	  70.27	  40.15	  -1.70	 402.38	 267.81
33	  66.19	  37.82	  -1.10	 359.76	 225.43
34	  57.73	  32.99	   2.35	 368.12	 400.56
35	  37.22	  21.27	   1.09	 109.19	  53.90
36	  71.63	  40.93	  -0.14	 459.81	 414.65
