1	 260.00	  30.00	   0.57	 299.00	 194.00
2	 260.00	  30.00	   2.18	 287.00	 341.00
3	 260.00	  30.00	   3.22	 204.00	 392.00
4	 260.00	  30.00	   0.70	 321.00	 101.00
5	 260.00	  30.00	   4.18	  30.00	 290.00
6	 260.00	  30.00	   1.17	 309.00	 200.00
7	 260.00	  30.00	   0.41	 188.00	 160.00
8	 260.00	  30.00	   0.04	 369.00	 158.00
9	 260.00	  30.00	   3.47	 311.00	 331.00
10	 260.00	  30.00	   1.39	 407.00	 242.00
11	 260.00	  30.00	   3.73	 308.00	 400.00
12	 260.00	  30.00	   4.16	 185.00	 430.00
13	 260.00	  30.00	  -0.22	 255.00	 134.00
14	 260.00	  30.00	   0.24	 205.00	  72.00
15	 260.00	  30.00	   2.14	 448.00	 271.00
16	 260.00	  30.00	   3.00	 224.00	 512.00
17	 260.00	  30.00	   1.09	 317.00	 158.00
18	 260.00	  30.00	  -1.18	  34.00	 275.00
19	 260.00	  30.00	   2.59	 248.00	 351.00
20	 260.00	  30.00	  -0.07	 211.00	  93.00
21	 260.00	  30.00	   2.75	 430.00	 413.00
22	 260.00	  30.00	   0.44	 220.00	 195.00
23	 260.00	  30.00	   1.32	 418.00	 292.00
24	 260.00	  30.00	   1.59	 316.00	 366.00
25	 260.00	  30.00	   0.58	 393.00	 261.00
26	 260.00	  30.00	  -0.71	  99.00	 108.00
27	 260.00	  30.00	   3.29	 254.00	 341.00
28	 260.00	  30.00	   4.45	 191.00	 230.00
29	 260.00	  30.00	   2.88	 367.00	 435.00
30	 260.00	  30.00	   0.34	 397.00	 187.00
31	 260.00	  30.00	   2.00	 382.00	 421.00
32	 260.00	  30.00	   0.88	 308.00	 153.00
33	 260.00	  30.00	  -0.54	  68.00	 104.00
34	 260.00	  30.00	  -0.21	 236.00	 164.00
35	 260.00	  30.00	  -0.32	 323.00	 110.00
36	 260.00	  30.00	   0.78	 389.00	 301.00
37	 260.00	  30.00	   2.80	 225.00	 419.00
38	 260.00	  30.00	   1.12	 378.00	 169.00
39	 260.00	  30.00	   1.35	 431.00	 303.00
40	 260.00	  30.00	   2.98	 314.00	 365.00
41	 260.00	  30.00	   0.57	 250.00	 119.00
42	 260.00	  30.00	   2.80	 281.00	 483.00
43	 260.00	  30.00	   4.71	  75.00	 369.00
44	 260.00	  30.00	   3.78	 132.00	 427.00
45	 260.00	  30.00	   0.72	 193.00	 152.00
46	 260.00	  30.00	  -0.12	 290.00	 176.00
47	 260.00	  30.00	   2.98	 369.00	 290.00
48	 260.00	  30.00	   3.29	 194.00	 329.00
49	 260.00	  30.00	   3.69	 113.00	 286.00
50	 260.00	  30.00	  -0.98	 195.00	 284.00
51	 260.00	  30.00	   4.02	 256.00	 381.00
52	 260.00	  30.00	   1.74	 448.00	 222.00
53	 260.00	  30.00	   3.60	 102.00	 345.00
54	 260.00	  30.00	   2.54	 394.00	 326.00
55	 260.00	  30.00	  -0.96	 174.00	 234.00
56	 260.00	  30.00	  -0.93	 102.00	 139.00
57	 260.00	  30.00	   3.34	 216.00	 419.00
58	 260.00	  30.00	  -0.31	 278.00	   9.00
59	 260.00	  30.00	   0.29	 208.00	  19.00
60	 260.00	  30.00	   1.63	 476.00	 362.00
61	 260.00	  30.00	   1.99	 382.00	 406.00
62	 260.00	  30.00	   0.41	 193.00	 104.00
